Date,Road,Road PTS,Home,Home PTS
2023-10-24,LAL,107,DEN,119
2023-10-24,PHX,108,GSW,104
2023-10-25,NOP,111,MEM,104
2023-10-25,POR,111,LAC,123
2023-10-25,SAC,130,UTA,114
2023-10-25,OKC,124,CHI,104
2023-10-25,DET,102,MIA,103
2023-10-25,ATL,110,CHA,116
2023-10-25,HOU,86,ORL,116
2023-10-25,CLE,114,BKN,113
2023-10-25,DAL,126,SAS,119
2023-10-25,BOS,108,NYK,104
2023-10-25,MIN,94,TOR,97
2023-10-25,WAS,120,IND,143
2023-10-26,PHX,95,LAL,100
2023-10-26,PHI,117,MIL,118
2023-10-27,MIA,111,BOS,119
2023-10-27,LAC,118,UTA,120
2023-10-27,HOU,122,SAS,126
2023-10-27,OKC,108,CLE,105
2023-10-27,DEN,108,MEM,104
2023-10-27,BKN,120,DAL,125
2023-10-27,GSW,122,SAC,114
2023-10-27,ORL,102,POR,97
2023-10-27,TOR,103,CHI,104
2023-10-27,NYK,126,ATL,120
2023-10-27,DET,111,CHA,99
2023-10-28,NYK,87,NOP,96
2023-10-28,CHI,102,DET,118
2023-10-28,IND,125,CLE,113
2023-10-28,MIA,90,MIN,106
2023-10-28,UTA,104,PHX,126
2023-10-28,MEM,106,WAS,113
2023-10-28,PHI,114,TOR,107
2023-10-29,SAS,83,LAC,123
2023-10-29,DEN,128,OKC,95
2023-10-29,POR,98,PHI,126
2023-10-29,GSW,106,HOU,95
2023-10-29,LAL,127,SAC,132
2023-10-29,ATL,127,MIL,110
2023-10-30,POR,99,TOR,91
2023-10-30,GSW,130,NOP,102
2023-10-30,ORL,103,LAL,106
2023-10-30,BKN,133,CHA,121
2023-10-30,DET,112,OKC,124
2023-10-30,MIN,113,ATL,127
2023-10-30,DAL,125,MEM,110
2023-10-30,CHI,112,IND,105
2023-10-30,UTA,102,DEN,110
2023-10-30,BOS,126,WAS,107
2023-10-30,MIA,114,MIL,122
2023-10-31,ORL,102,LAC,118
